Modelo,Tarefa,Accuracy,Precision,Recall,F1-Score,MAE,RMSE,R2
Regressao Logistica,Classificacao,0.9327404113396331,0.8947368421052632,0.8931698774080561,0.8939526730937774,,,
Random Forest Classifier,Classificacao,0.9816564758199,1.0,0.9422066549912436,0.9702434625789,,,
Regressao Linear,Regressao (NO2),,,,,5.112955529173971,6.715979080015576,0.7162560799965725
Random Forest Regressor,Regressao (NO2),,,,,5.369404844290657,6.901316042600975,0.7003793599793511
